Year,PPG,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK
1982,108.50227272727273,42.729166666666664,85.96249999999999,0.49725,0.6083333333333333,2.2875,0.25295833333333334,21.304166666666667,28.570833333333336,0.7449583333333333,43.474999999999994,25.14166666666667,8.5375,5.370833333333334
1983,108.41174242424242,42.99166666666667,87.40833333333335,0.49158333333333326,0.5333333333333333,2.254166666666667,0.231125,20.924999999999997,28.283333333333335,0.7392499999999999,44.458333333333336,25.90833333333333,8.883333333333333,5.595833333333334
1984,109.97727272727272,42.87916666666666,85.98333333333335,0.4987916666666667,0.5958333333333333,2.375,0.24250000000000002,22.554166666666664,29.691666666666663,0.7591666666666667,43.025000000000006,26.19583333333333,8.512500000000001,5.308333333333334
1985,110.79280303030303,42.87916666666666,85.97499999999998,0.4987916666666667,0.8916666666666666,3.141666666666667,0.274,22.429166666666664,29.370833333333334,0.7632499999999999,43.49166666666667,26.258333333333336,8.545833333333334,5.325
1986,110.1503787878788,42.25833333333333,85.29583333333333,0.49541666666666667,0.9458333333333333,3.3375,0.2688333333333333,22.895833333333332,30.266666666666666,0.7564583333333333,43.57083333333333,26.020833333333332,8.7875,5.245833333333334
1987,109.84848484848484,41.21666666666667,84.07083333333334,0.4905,1.4208333333333334,4.733333333333333,0.2906666666666667,23.229166666666668,30.46666666666667,0.7625833333333333,44.020833333333336,25.974999999999998,8.629166666666666,5.516666666666666
1988,108.0784090909091,40.55833333333334,82.72916666666667,0.4905,1.5791666666666666,4.991666666666666,0.30679166666666663,22.304166666666664,29.116666666666664,0.766,43.39166666666667,25.766666666666666,8.512500000000001,5.379166666666667
1989,109.14519230769233,40.35000000000001,82.4076923076923,0.4901153846153846,2.1192307692307697,6.553846153846153,0.3118461538461538,22.111538461538466,28.807692307692307,0.7670769230769232,43.915384615384625,25.576923076923077,9.084615384615384,5.338461538461539
1990,106.98104395604396,39.339285714285715,80.55,0.4887857142857142,2.185714285714286,6.607142857142856,0.31664285714285706,21.782142857142855,28.50714285714286,0.7634285714285713,43.14285714285713,24.857142857142858,8.517857142857142,5.067857142857142
1991,106.26346153846153,39.06785714285714,80.05714285714285,0.4883571428571428,2.2964285714285713,7.139285714285714,0.31482142857142864,21.328571428571426,27.88214285714286,0.7641785714285714,43.26428571428571,24.73571428571429,8.585714285714285,5.253571428571429
1992,105.31291208791211,38.73571428571429,79.71785714285714,0.48614285714285715,2.525,7.628571428571428,0.3256071428571428,20.242857142857144,26.682142857142857,0.7583571428571428,43.67857142857142,24.485714285714284,8.635714285714284,5.528571428571429
1993,105.29175824175825,37.667857142857144,77.00357142857142,0.4893571428571429,3.0214285714285714,8.95,0.33142857142857135,20.910714285714285,27.717857142857138,0.7542500000000001,43.13214285714285,24.700000000000006,8.55,5.217857142857143
1994,101.53653846153847,36.025,74.54642857142858,0.48357142857142854,3.2928571428571436,9.89642857142857,0.33221428571428574,19.567857142857147,26.639285714285716,0.7342142857142857,42.98928571428571,24.39285714285714,8.875,5.232142857142857
1995,101.47719780219782,32.496428571428574,66.18928571428572,0.49142857142857144,5.489285714285716,15.296428571428569,0.35875,19.939285714285717,27.082142857142863,0.736642857142857,41.560714285714276,23.360714285714288,8.275,5.167857142857144
1996,99.5352380952381,31.163333333333338,64.13666666666667,0.48623333333333335,5.883333333333334,16.063333333333336,0.36536666666666673,19.516666666666666,26.39333333333333,0.7396,41.24666666666666,22.696666666666665,7.973333333333333,5.0666666666666655
1997,96.9204761904762,30.023333333333333,62.510000000000005,0.48046666666666676,6.043333333333334,16.793333333333333,0.35963333333333325,18.71,25.34333333333333,0.7380666666666665,41.08,22.043333333333333,8.193333333333333,4.906666666666667
1998,95.59880952380954,31.506666666666668,66.99,0.4710666666666667,4.403333333333333,12.709999999999999,0.34390000000000004,19.36666666666667,26.290000000000003,0.7372333333333331,41.55,22.019999999999996,8.389999999999999,5.08
1999,91.65333333333334,29.709999999999997,65.02666666666667,0.45753333333333335,4.456666666666666,13.166666666666664,0.3363666666666666,18.779999999999994,25.796666666666667,0.7279666666666665,41.660000000000004,20.73,8.353333333333333,4.96
2000,97.49761904761903,31.986666666666665,68.37999999999998,0.46799999999999997,4.836666666666667,13.716666666666665,0.35290000000000005,18.966666666666665,25.283333333333328,0.7508666666666666,42.916666666666664,22.339999999999996,7.933333333333334,5.159999999999999
2001,94.86571428571429,30.84333333333333,66.89000000000001,0.46136666666666665,4.840000000000001,13.706666666666667,0.35189999999999994,18.593333333333337,24.88,0.7487333333333334,42.466666666666676,21.773333333333333,7.816666666666665,5.263333333333333
2002,95.52880952380951,30.966666666666665,66.52666666666666,0.46549999999999997,5.213333333333333,14.753333333333334,0.35183333333333333,17.913333333333334,23.826666666666664,0.7525666666666666,42.403333333333336,21.933333333333334,7.793333333333333,5.223333333333333
2003,95.13,30.58666666666667,66.09333333333332,0.46269999999999994,5.133333333333334,14.676666666666666,0.34670000000000006,18.506666666666664,24.43,0.7581000000000001,42.30333333333333,21.506666666666664,7.94,5.026666666666667
2004,93.46119047619047,29.823333333333338,64.89000000000001,0.4597333333333333,5.183333333333333,14.920000000000003,0.34556666666666663,18.193333333333335,24.203333333333333,0.7524,42.20666666666667,21.299999999999994,7.930000000000001,5.053333333333334
2005,97.19000000000001,30.34516129032258,64.58709677419355,0.47006451612903216,5.599999999999999,15.751612903225805,0.35325806451612896,19.700000000000003,26.058064516129033,0.7564838709677422,41.85806451612903,21.287096774193547,7.509677419354837,4.870967741935485
2006,97.01333333333332,30.116129032258062,63.00967741935483,0.4780967741935484,5.725806451612902,15.983870967741934,0.35690322580645173,19.6,26.30322580645161,0.7458709677419355,40.96774193548387,20.60967741935484,7.174193548387097,4.693548387096774
2007,98.73999999999998,30.467741935483872,62.75806451612903,0.4855483870967742,6.070967741935482,16.938709677419357,0.35683870967741943,19.616129032258065,26.080645161290327,0.7529354838709676,41.05483870967741,21.29032258064516,7.238709677419355,4.609677419354839
2008,99.92333333333335,30.703225806451616,63.3967741935484,0.48480645161290326,6.564516129032258,18.10645161290323,0.36029032258064525,18.84838709677419,24.938709677419357,0.7555806451612903,41.97419354838709,21.75483870967742,7.280645161290324,4.735483870967743
